Feature,Importance
form_fill_volatility_indicator,0.4169702
otp_solve_time_sec,0.30263105
form_fill_time_sec,0.27150947
device_fingerprint_reuse_count,0.008613943
checkout_attempts_per_session,0.00027535248
page_view_time_sec,0.0
scroll_depth_pct,0.0
device_consistency_score,0.0
request_rate_per_sec,0.0
geo_variance_km,0.0
user_agent_diversity,0.0
inter_request_variance_ms,0.0
tls_signature_entropy,0.0
burst_alignment_score,0.0
form_fill_efficiency,0.0
keystroke_consistency,0.0
mouse_activity_anomaly,0.0
page_interaction_depth,0.0
content_consumption_speed,0.0
mouse_entropy,0.0
keystroke_interval_ms,0.0
behavioral_entropy,0.0
otp_solve_speed,0.0
tls_jitter_anomaly,0.0
tls_signature_stability,0.0
ja3_hash_stability,0.0
geographic_anomaly,0.0
user_agent_volatility,0.0
device_consistency_anomaly,0.0
vpn_or_proxy_detected,0.0
datacenter_ip_probability,0.0
burst_window_anomaly,0.0
inter_request_timing_regularity,0.0
request_rate_anomaly,0.0
rapid_request_detection,0.0
request_burst_intensity,0.0
ip_reputation_proxy_signal,0.0
time_to_release_minutes,0.0
session_duration_sec,0.0
requests_per_session,0.0
session_duration_anomaly,0.0
requests_per_session_zscore,0.0
pnr_search_velocity,0.0
concurrent_session_spike,0.0
volume_anomaly_score,0.0
account_age_days_proxy,0.0
aadhaar_verified,0.0
prior_fraud_flag,0.0
blacklist_match_probability,0.0
behavioral_risk_score,0.0
device_risk_score,0.0
temporal_risk_score,0.0
ensemble_bot_probability,0.0
